,localName,type,latitude,longitude,webUrl,phone,text_for_embedding
10,Vietnam Veterans Memorial,ATTRACTION,38.891113,-77.04762,https://www.tripadvisor.com/Attraction_Review-g28970-d104863-Reviews-Vietnam_Veterans_Memorial-Washington_DC_District_of_Columbia.html,+1 202-426-6841,Vietnam Veterans Memorial ATTRACTION
11,Ford's Theatre,ATTRACTION,38.89668,-77.02588,https://www.tripadvisor.com/Attraction_Review-g28970-d104861-Reviews-Ford_s_Theatre-Washington_DC_District_of_Columbia.html,+1 202-347-4833,Ford's Theatre ATTRACTION
12,National Museum of African American History and Culture,ATTRACTION,38.89106,-77.032585,https://www.tripadvisor.com/Attraction_Review-g28970-d10895065-Reviews-National_Museum_of_African_American_History_and_Culture-Washington_DC_District_of.html,+1 844-750-3012,National Museum of African American History and Culture ATTRACTION
13,United States Botanic Garden,ATTRACTION,38.88812,-77.01288,https://www.tripadvisor.com/Attraction_Review-g28970-d143930-Reviews-United_States_Botanic_Garden-Washington_DC_District_of_Columbia.html,+1 202-225-8333,United States Botanic Garden ATTRACTION
14,National Portrait Gallery,ATTRACTION,38.897827,-77.02302,https://www.tripadvisor.com/Attraction_Review-g28970-d108423-Reviews-National_Portrait_Gallery-Washington_DC_District_of_Columbia.html,+1 202-633-8300,National Portrait Gallery ATTRACTION
15,International Spy Museum,ATTRACTION,38.88414,-77.02557,https://www.tripadvisor.com/Attraction_Review-g28970-d254773-Reviews-International_Spy_Museum-Washington_DC_District_of_Columbia.html,+1 202-393-7798,International Spy Museum ATTRACTION
16,White House,ATTRACTION,38.897648,-77.03658,https://www.tripadvisor.com/Attraction_Review-g28970-d103227-Reviews-White_House-Washington_DC_District_of_Columbia.html,+1 202-208-1631,White House ATTRACTION
17,National Mall,ATTRACTION,38.88961,-77.022705,https://www.tripadvisor.com/Attraction_Review-g28970-d107965-Reviews-National_Mall-Washington_DC_District_of_Columbia.html,+1 202-426-6841,National Mall ATTRACTION
18,Washington Monument,ATTRACTION,38.88946,-77.03524,https://www.tripadvisor.com/Attraction_Review-g28970-d107009-Reviews-Washington_Monument-Washington_DC_District_of_Columbia.html,+1 202-426-6841,Washington Monument ATTRACTION
19,Library of Congress,ATTRACTION,38.88867,-77.004715,https://www.tripadvisor.com/Attraction_Review-g28970-d104859-Reviews-Library_of_Congress-Washington_DC_District_of_Columbia.html,+1 202-707-5000,Library of Congress ATTRACTION
20,National Gallery of Art,ATTRACTION,38.8913,-77.019966,https://www.tripadvisor.com/Attraction_Review-g28970-d107892-Reviews-National_Gallery_of_Art-Washington_DC_District_of_Columbia.html,+1 202-737-4215,National Gallery of Art ATTRACTION
21,U.S. Capitol,ATTRACTION,38.88995,-77.00905,https://www.tripadvisor.com/Attraction_Review-g28970-d143718-Reviews-U_S_Capitol-Washington_DC_District_of_Columbia.html,+1 202-226-8000,U.S. Capitol ATTRACTION
22,National Air and Space Museum,ATTRACTION,38.888153,-77.019875,https://www.tripadvisor.com/Attraction_Review-g28970-d107967-Reviews-National_Air_and_Space_Museum-Washington_DC_District_of_Columbia.html,+1 202-633-2214,National Air and Space Museum ATTRACTION
23,The National Archives Museum,ATTRACTION,38.892483,-77.02294,https://www.tripadvisor.com/Attraction_Review-g28970-d104857-Reviews-The_National_Archives_Museum-Washington_DC_District_of_Columbia.html,+1 202-357-5000,The National Archives Museum ATTRACTION
24,Lincoln Memorial,ATTRACTION,38.889267,-77.05018,https://www.tripadvisor.com/Attraction_Review-g28970-d10105731-Reviews-Lincoln_Memorial-Washington_DC_District_of_Columbia.html,+1 202-426-6841,Lincoln Memorial ATTRACTION
25,Smithsonian National Museum of Natural History,ATTRACTION,38.891266,-77.02607,https://www.tripadvisor.com/Attraction_Review-g28970-d104867-Reviews-Smithsonian_National_Museum_of_Natural_History-Washington_DC_District_of_Columbia.html,+1 202-633-1000,Smithsonian National Museum of Natural History ATTRACTION
26,Capitol Hill,ATTRACTION,38.88987,-77.00985,https://www.tripadvisor.com/Attraction_Review-g28970-d143712-Reviews-Capitol_Hill-Washington_DC_District_of_Columbia.html,+1 12345678,Capitol Hill ATTRACTION
27,Museum of the Bible,ATTRACTION,38.884846,-77.01731,https://www.tripadvisor.com/Attraction_Review-g28970-d12840707-Reviews-Museum_of_the_Bible-Washington_DC_District_of_Columbia.html,+1 866-430-6682,Museum of the Bible ATTRACTION
28,Basilica of the National Shrine of the Immaculate Conception,ATTRACTION,38.93336,-77.000656,https://www.tripadvisor.com/Attraction_Review-g28970-d218282-Reviews-Basilica_of_the_National_Shrine_of_the_Immaculate_Conception-Washington_DC_District.html,+1 202-526-8300,Basilica of the National Shrine of the Immaculate Conception ATTRACTION
29,Franklin Delano Roosevelt Memorial,ATTRACTION,38.88398,-77.04405,https://www.tripadvisor.com/Attraction_Review-g28970-d143758-Reviews-Franklin_Delano_Roosevelt_Memorial-Washington_DC_District_of_Columbia.html,+1 202-426-6841,Franklin Delano Roosevelt Memorial ATTRACTION
30,The St. Gregory Hotel,HOTEL,38.906013,-77.0463,https://www.tripadvisor.com/Hotel_Review-g28970-d220076-Reviews-The_St_Gregory_Hotel-Washington_DC_District_of_Columbia.html,12029337380,The St. Gregory Hotel HOTEL
31,"Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",HOTEL,38.885883,-77.01939,https://www.tripadvisor.com/Hotel_Review-g28970-d84074-Reviews-Holiday_Inn_Washington_Capitol_Natl_Mall_an_IHG_Hotel-Washington_DC_District_of_Columbia.html,18778595095,"Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel HOTEL"
32,Generator Washington DC,HOTEL,38.916,-77.04661,https://www.tripadvisor.com/Hotel_Review-g28970-d84052-Reviews-Generator_Washington_DC-Washington_DC_District_of_Columbia.html,+1 202-332-9300,Generator Washington DC HOTEL
33,"Martin Luther King, Jr. Memorial",ATTRACTION,38.8862,-77.04425,https://www.tripadvisor.com/Attraction_Review-g28970-d2267934-Reviews-Martin_Luther_King_Jr_Memorial-Washington_DC_District_of_Columbia.html,+1 202-426-6841,"Martin Luther King, Jr. Memorial ATTRACTION"
34,Hotel Adera,HOTEL,38.90755,-77.0454,https://www.tripadvisor.com/Hotel_Review-g28970-d84115-Reviews-Hotel_Adera-Washington_DC_District_of_Columbia.html,18447803051,Hotel Adera HOTEL
35,Glover Park Hotel Georgetown,HOTEL,38.92328,-77.07289,https://www.tripadvisor.com/Hotel_Review-g28970-d84127-Reviews-Glover_Park_Hotel_Georgetown-Washington_DC_District_of_Columbia.html,+1 202-337-9700,Glover Park Hotel Georgetown HOTEL
36,"InterContinental Washington D.C. - The Wharf, an IHG Hotel",HOTEL,38.879387,-77.025024,https://www.tripadvisor.com/Hotel_Review-g28970-d11717432-Reviews-InterContinental_Washington_D_C_The_Wharf_an_IHG_Hotel-Washington_DC_District_of_Colum.html,18778595095,"InterContinental Washington D.C. - The Wharf, an IHG Hotel HOTEL"
37,Fairmont Washington D.C. Georgetown,HOTEL,38.905773,-77.05155,https://www.tripadvisor.com/Hotel_Review-g28970-d217770-Reviews-Fairmont_Washington_D_C_Georgetown-Washington_DC_District_of_Columbia.html,+1 202-429-2400,Fairmont Washington D.C. Georgetown HOTEL
38,Hyatt House Washington DC / The Wharf,HOTEL,38.87859,-77.02424,https://www.tripadvisor.com/Hotel_Review-g28970-d12912835-Reviews-Hyatt_House_Washington_DC_The_Wharf-Washington_DC_District_of_Columbia.html,+1 202-554-1234,Hyatt House Washington DC / The Wharf HOTEL
39,"Courtyard Washington, Dc/u.s. Capitol",HOTEL,38.908085,-77.00331,https://www.tripadvisor.com/Hotel_Review-g28970-d1237013-Reviews-Courtyard_Washington_Dc_u_s_Capitol-Washington_DC_District_of_Columbia.html,18446310595,"Courtyard Washington, Dc/u.s. Capitol HOTEL"
40,The Watergate Hotel,HOTEL,38.899555,-77.05549,https://www.tripadvisor.com/Hotel_Review-g28970-d84026-Reviews-The_Watergate_Hotel-Washington_DC_District_of_Columbia.html,18337140672,The Watergate Hotel HOTEL
41,The Darcy Hotel,HOTEL,38.90794,-77.03552,https://www.tripadvisor.com/Hotel_Review-g28970-d120559-Reviews-The_Darcy_Hotel-Washington_DC_District_of_Columbia.html,+1 202-232-7000,The Darcy Hotel HOTEL
42,Washington Plaza Hotel,HOTEL,38.906216,-77.03116,https://www.tripadvisor.com/Hotel_Review-g28970-d84095-Reviews-Washington_Plaza_Hotel-Washington_DC_District_of_Columbia.html,+1 202-842-1300,Washington Plaza Hotel HOTEL
43,Lyle DC,HOTEL,38.91342,-77.0396,https://www.tripadvisor.com/Hotel_Review-g28970-d23149085-Reviews-Lyle_DC-Washington_DC_District_of_Columbia.html,12029637768,Lyle DC HOTEL
44,Hilton Washington DC National Mall The Wharf,HOTEL,38.883728,-77.019424,https://www.tripadvisor.com/Hotel_Review-g28970-d13798670-Reviews-Hilton_Washington_DC_National_Mall_The_Wharf-Washington_DC_District_of_Columbia.html,18556050316,Hilton Washington DC National Mall The Wharf HOTEL
45,The Royal Sonesta Washington DC Dupont Circle,HOTEL,38.909805,-77.04739,https://www.tripadvisor.com/Hotel_Review-g28970-d84093-Reviews-The_Royal_Sonesta_Washington_DC_Dupont_Circle-Washington_DC_District_of_Columbia.html,12024109320,The Royal Sonesta Washington DC Dupont Circle HOTEL
46,Rare Steakhouse & Tavern,RESTAURANT,38.901337,-77.03585,https://www.tripadvisor.com/Restaurant_Review-g28970-d13087963-Reviews-Rare_Steakhouse_Tavern-Washington_DC_District_of_Columbia.html,+1 202-800-9994,Rare Steakhouse & Tavern RESTAURANT
47,Bluejacket,RESTAURANT,38.875072,-77.0008,https://www.tripadvisor.com/Restaurant_Review-g28970-d4837282-Reviews-Bluejacket-Washington_DC_District_of_Columbia.html,+1 202-524-4862,Bluejacket RESTAURANT
48,Whole Foods Market,RESTAURANT,38.900818,-77.048996,https://www.tripadvisor.com/Restaurant_Review-g28970-d3896153-Reviews-Whole_Foods_Market-Washington_DC_District_of_Columbia.html,+1 202-296-1660,Whole Foods Market RESTAURANT
49,Dupont Italian Kitchen,RESTAURANT,38.912437,-77.038284,https://www.tripadvisor.com/Restaurant_Review-g28970-d459894-Reviews-Dupont_Italian_Kitchen-Washington_DC_District_of_Columbia.html,+1 202-328-3222,Dupont Italian Kitchen RESTAURANT
50,Kafe Leopold,RESTAURANT,38.904842,-77.066475,https://www.tripadvisor.com/Restaurant_Review-g28970-d619229-Reviews-Kafe_Leopold-Washington_DC_District_of_Columbia.html,+1 202-965-6005,Kafe Leopold RESTAURANT
51,Sette Osteria - Dupont Circle,RESTAURANT,38.91241,-77.04543,https://www.tripadvisor.com/Restaurant_Review-g28970-d497542-Reviews-Sette_Osteria_Dupont_Circle-Washington_DC_District_of_Columbia.html,+1 202-483-3070,Sette Osteria - Dupont Circle RESTAURANT
52,City Tap House Penn Quarter,RESTAURANT,38.901016,-77.02381,https://www.tripadvisor.com/Restaurant_Review-g28970-d5421742-Reviews-City_Tap_House_Penn_Quarter-Washington_DC_District_of_Columbia.html,+1 202-290-2252,City Tap House Penn Quarter RESTAURANT
53,ilili Restaurant DC,RESTAURANT,38.8798,-77.02561,https://www.tripadvisor.com/Restaurant_Review-g28970-d23754632-Reviews-Ilili_Restaurant_DC-Washington_DC_District_of_Columbia.html,+1 202-918-7766,ilili Restaurant DC RESTAURANT
54,Chloe,RESTAURANT,38.874672,-77.000755,https://www.tripadvisor.com/Restaurant_Review-g28970-d13410328-Reviews-Chloe-Washington_DC_District_of_Columbia.html,+1 202-313-7007,Chloe RESTAURANT
55,La Tomate,RESTAURANT,38.912853,-77.045044,https://www.tripadvisor.com/Restaurant_Review-g28970-d450725-Reviews-La_Tomate-Washington_DC_District_of_Columbia.html,+1 202-667-5505,La Tomate RESTAURANT
56,Charlie Palmer Steak DC,RESTAURANT,38.893085,-77.01235,https://www.tripadvisor.com/Restaurant_Review-g28970-d456897-Reviews-Charlie_Palmer_Steak_DC-Washington_DC_District_of_Columbia.html,+1 202-547-8100,Charlie Palmer Steak DC RESTAURANT
57,All-purpose Shaw,RESTAURANT,38.9069,-77.02413,https://www.tripadvisor.com/Restaurant_Review-g28970-d10479098-Reviews-All_purpose_Shaw-Washington_DC_District_of_Columbia.html,+1 202-849-6174,All-purpose Shaw RESTAURANT
58,Dirty Habit Dc,RESTAURANT,38.896786,-77.02239,https://www.tripadvisor.com/Restaurant_Review-g28970-d11445106-Reviews-Dirty_Habit_Dc-Washington_DC_District_of_Columbia.html,+1 202-449-7095,Dirty Habit Dc RESTAURANT
59,Dlena,RESTAURANT,38.90227,-77.0187,https://www.tripadvisor.com/Restaurant_Review-g28970-d23295592-Reviews-Dlena-Washington_DC_District_of_Columbia.html,+1 202-560-5999,Dlena RESTAURANT
60,Iron Gate,RESTAURANT,38.907124,-77.03988,https://www.tripadvisor.com/Restaurant_Review-g28970-d5858012-Reviews-Iron_Gate-Washington_DC_District_of_Columbia.html,+1 202-524-5202,Iron Gate RESTAURANT
61,USDA Headquarters Cafeteria,RESTAURANT,38.88623,-77.02923,https://www.tripadvisor.com/Restaurant_Review-g28970-d10239647-Reviews-USDA_Headquarters_Cafeteria-Washington_DC_District_of_Columbia.html,+1 202-205-7399,USDA Headquarters Cafeteria RESTAURANT
62,The Tombs,RESTAURANT,38.906025,-77.07044,https://www.tripadvisor.com/Restaurant_Review-g28970-d496543-Reviews-The_Tombs-Washington_DC_District_of_Columbia.html,+1 202-337-6668,The Tombs RESTAURANT
63,Article One - American Grill,RESTAURANT,38.89523,-77.01143,https://www.tripadvisor.com/Restaurant_Review-g28970-d1409296-Reviews-Article_One_American_Grill-Washington_DC_District_of_Columbia.html,+1 202-719-8478,Article One - American Grill RESTAURANT
64,La Chaumiere,RESTAURANT,38.905445,-77.05749,https://www.tripadvisor.com/Restaurant_Review-g28970-d450647-Reviews-La_Chaumiere-Washington_DC_District_of_Columbia.html,+1 202-338-1784,La Chaumiere RESTAURANT
65,Mastro's Steakhouse,RESTAURANT,38.897484,-77.02985,https://www.tripadvisor.com/Restaurant_Review-g28970-d8418520-Reviews-Mastro_s_Steakhouse-Washington_DC_District_of_Columbia.html,+1 202-347-1500,Mastro's Steakhouse RESTAURANT
66,Cafe Milano,RESTAURANT,38.9061,-77.06367,https://www.tripadvisor.com/Restaurant_Review-g28970-d450562-Reviews-Cafe_Milano-Washington_DC_District_of_Columbia.html,+1 202-333-6183,Cafe Milano RESTAURANT
67,Centrolina Mercato E Osteria,RESTAURANT,38.90027,-77.02552,https://www.tripadvisor.com/Restaurant_Review-g28970-d8376666-Reviews-Centrolina_Mercato_E_Osteria-Washington_DC_District_of_Columbia.html,+1 202-898-2426,Centrolina Mercato E Osteria RESTAURANT
68,Tail Up Goat,RESTAURANT,38.9236,-77.04313,https://www.tripadvisor.com/Restaurant_Review-g28970-d10076070-Reviews-Tail_Up_Goat-Washington_DC_District_of_Columbia.html,+1 202-986-9600,Tail Up Goat RESTAURANT
69,Tony Cheng's Restaurant,RESTAURANT,38.8998,-77.02082,https://www.tripadvisor.com/Restaurant_Review-g28970-d450590-Reviews-Tony_Cheng_s_Restaurant-Washington_DC_District_of_Columbia.html,+1 202-371-8669,Tony Cheng's Restaurant RESTAURANT
70,Busboys and Poets,RESTAURANT,38.902313,-77.01833,https://www.tripadvisor.com/Restaurant_Review-g28970-d2551154-Reviews-Busboys_and_Poets-Washington_DC_District_of_Columbia.html,+1 202-789-2227,Busboys and Poets RESTAURANT
71,Oohh's & Aahh's,RESTAURANT,38.962364,-77.027664,https://www.tripadvisor.com/Restaurant_Review-g28970-d13196450-Reviews-Oohh_s_Aahh_s-Washington_DC_District_of_Columbia.html,+1 202-882-2902,Oohh's & Aahh's RESTAURANT
72,sweetgreen Capitol Hill,RESTAURANT,38.887074,-77.00267,https://www.tripadvisor.com/Restaurant_Review-g28970-d4100674-Reviews-Sweetgreen_Capitol_Hill-Washington_DC_District_of_Columbia.html,+1 202-547-9338,sweetgreen Capitol Hill RESTAURANT
73,North Italia,RESTAURANT,38.90142,-77.04761,https://www.tripadvisor.com/Restaurant_Review-g28970-d16742182-Reviews-North_Italia-Washington_DC_District_of_Columbia.html,+1 202-803-8051,North Italia RESTAURANT
74,Seven Reasons,RESTAURANT,38.91957,-77.03215,https://www.tripadvisor.com/Restaurant_Review-g28970-d17395844-Reviews-Seven_Reasons-Washington_DC_District_of_Columbia.html,+1 202-290-2630,Seven Reasons RESTAURANT
75,Tonic at Quigley's Restaurant,RESTAURANT,38.89811,-77.04646,https://www.tripadvisor.com/Restaurant_Review-g28970-d1076229-Reviews-Tonic_at_Quigley_s_Restaurant-Washington_DC_District_of_Columbia.html,+1 202-296-0211,Tonic at Quigley's Restaurant RESTAURANT
76,Sfoglina Downtown,RESTAURANT,38.901596,-77.02689,https://www.tripadvisor.com/Restaurant_Review-g28970-d4584611-Reviews-Sfoglina_Downtown-Washington_DC_District_of_Columbia.html,+1 202-628-1099,Sfoglina Downtown RESTAURANT
77,Dauphine's,RESTAURANT,38.904503,-77.0348,https://www.tripadvisor.com/Restaurant_Review-g28970-d23481887-Reviews-Dauphine_s-Washington_DC_District_of_Columbia.html,+1 202-758-3785,Dauphine's RESTAURANT
78,Sequoia DC,RESTAURANT,38.90152,-77.05963,https://www.tripadvisor.com/Restaurant_Review-g28970-d450449-Reviews-Sequoia_DC-Washington_DC_District_of_Columbia.html,+1 202-944-4200,Sequoia DC RESTAURANT
79,Rice Bar,RESTAURANT,38.88615,-77.02076,https://www.tripadvisor.com/Restaurant_Review-g28970-d12905910-Reviews-Rice_Bar-Washington_DC_District_of_Columbia.html,+1 202-554-2041,Rice Bar RESTAURANT
80,Pearl Dive Oyster Palace,RESTAURANT,38.911648,-77.0322,https://www.tripadvisor.com/Restaurant_Review-g28970-d2429612-Reviews-Pearl_Dive_Oyster_Palace-Washington_DC_District_of_Columbia.html,+1 202-319-1612,Pearl Dive Oyster Palace RESTAURANT
81,Thaiphoon,RESTAURANT,38.914253,-77.04546,https://www.tripadvisor.com/Restaurant_Review-g28970-d450615-Reviews-Thaiphoon-Washington_DC_District_of_Columbia.html,+1 202-667-3505,Thaiphoon RESTAURANT
82,Duke's Counter,RESTAURANT,38.930054,-77.05566,https://www.tripadvisor.com/Restaurant_Review-g28970-d10717255-Reviews-Duke_s_Counter-Washington_DC_District_of_Columbia.html,+1 202-733-4808,Duke's Counter RESTAURANT
83,Ristorante TOSCA,RESTAURANT,38.897186,-77.02762,https://www.tripadvisor.com/Restaurant_Review-g28970-d450792-Reviews-Ristorante_TOSCA-Washington_DC_District_of_Columbia.html,+1 202-367-1990,Ristorante TOSCA RESTAURANT
84,GORDON RAMSAY HELL'S KITCHEN,RESTAURANT,38.876762,-77.022446,https://www.tripadvisor.com/Restaurant_Review-g28970-d25283151-Reviews-GORDON_RAMSAY_HELL_S_KITCHEN-Washington_DC_District_of_Columbia.html,+1 202-558-4450,GORDON RAMSAY HELL'S KITCHEN RESTAURANT
85,El Rinconcito Cafe,RESTAURANT,38.905434,-77.02672,https://www.tripadvisor.com/Restaurant_Review-g28970-d3303409-Reviews-El_Rinconcito_Cafe-Washington_DC_District_of_Columbia.html,+1 202-789-4110,El Rinconcito Cafe RESTAURANT
86,Mama Ayesha's Restaurant,RESTAURANT,38.923405,-77.046875,https://www.tripadvisor.com/Restaurant_Review-g28970-d450343-Reviews-Mama_Ayesha_s_Restaurant-Washington_DC_District_of_Columbia.html,+1 202-232-5431,Mama Ayesha's Restaurant RESTAURANT
87,Lebanese Taverna,RESTAURANT,38.92473,-77.05188,https://www.tripadvisor.com/Restaurant_Review-g28970-d450482-Reviews-Lebanese_Taverna-Washington_DC_District_of_Columbia.html,+1 202-265-8681,Lebanese Taverna RESTAURANT
88,Round Robin Bar,RESTAURANT,38.89633,-77.032234,https://www.tripadvisor.com/Restaurant_Review-g28970-d4517049-Reviews-Round_Robin_Bar-Washington_DC_District_of_Columbia.html,+1 202-628-9100,Round Robin Bar RESTAURANT
89,Quill,RESTAURANT,38.90609,-77.036766,https://www.tripadvisor.com/Restaurant_Review-g28970-d5571717-Reviews-Quill-Washington_DC_District_of_Columbia.html,+1 202-448-2300,Quill RESTAURANT
90,Chercher Ethiopian Restaurant & Mart,RESTAURANT,38.908405,-77.02398,https://www.tripadvisor.com/Restaurant_Review-g28970-d4617746-Reviews-Chercher_Ethiopian_Restaurant_Mart-Washington_DC_District_of_Columbia.html,+1 202-299-9703,Chercher Ethiopian Restaurant & Mart RESTAURANT
91,Mxdc Cocinca Mexicana By Todd English,RESTAURANT,38.89773,-77.03191,https://www.tripadvisor.com/Restaurant_Review-g28970-d4597819-Reviews-Mxdc_Cocinca_Mexicana_By_Todd_English-Washington_DC_District_of_Columbia.html,+1 202-393-1900,Mxdc Cocinca Mexicana By Todd English RESTAURANT
92,GCDC Grilled Cheese Bar,RESTAURANT,38.8987,-77.040436,https://www.tripadvisor.com/Restaurant_Review-g28970-d6780569-Reviews-GCDC_Grilled_Cheese_Bar-Washington_DC_District_of_Columbia.html,+1 202-393-4232,GCDC Grilled Cheese Bar RESTAURANT
93,La Piquette,RESTAURANT,38.933296,-77.07312,https://www.tripadvisor.com/Restaurant_Review-g28970-d7008143-Reviews-La_Piquette-Washington_DC_District_of_Columbia.html,+1 202-686-2015,La Piquette RESTAURANT
94,Capitol City Brewing Co.,RESTAURANT,38.899952,-77.02713,https://www.tripadvisor.com/Restaurant_Review-g28970-d456894-Reviews-Capitol_City_Brewing_Co-Washington_DC_District_of_Columbia.html,+1 202-628-2222,Capitol City Brewing Co. RESTAURANT
95,Rasika West End,RESTAURANT,38.905045,-77.04803,https://www.tripadvisor.com/Restaurant_Review-g28970-d3521874-Reviews-Rasika_West_End-Washington_DC_District_of_Columbia.html,+1 202-466-2500,Rasika West End RESTAURANT
96,Bobby Van's Grill,RESTAURANT,38.901093,-77.028336,https://www.tripadvisor.com/Restaurant_Review-g28970-d1063752-Reviews-Bobby_Van_s_Grill-Washington_DC_District_of_Columbia.html,+1 202-589-1504,Bobby Van's Grill RESTAURANT
97,Karma Modern Indian,RESTAURANT,38.90102,-77.020775,https://www.tripadvisor.com/Restaurant_Review-g28970-d13371549-Reviews-Karma_Modern_Indian-Washington_DC_District_of_Columbia.html,+1 202-898-0393,Karma Modern Indian RESTAURANT
98,Taberna Del Alabardero,RESTAURANT,38.90082,-77.04153,https://www.tripadvisor.com/Restaurant_Review-g28970-d450340-Reviews-Taberna_Del_Alabardero-Washington_DC_District_of_Columbia.html,+1 202-429-2200,Taberna Del Alabardero RESTAURANT
99,Ted's Bulletin 14th Street,RESTAURANT,38.91469,-77.03214,https://www.tripadvisor.com/Restaurant_Review-g28970-d4749634-Reviews-Ted_s_Bulletin_14th_Street-Washington_DC_District_of_Columbia.html,+1 202-265-8337,Ted's Bulletin 14th Street RESTAURANT
100,Albi,RESTAURANT,38.87401,-77.00034,https://www.tripadvisor.com/Restaurant_Review-g28970-d20050051-Reviews-Albi-Washington_DC_District_of_Columbia.html,+1 202-921-9592,Albi RESTAURANT
101,Da Hong Pao Restaurant,RESTAURANT,38.909386,-77.03175,https://www.tripadvisor.com/Restaurant_Review-g28970-d10583207-Reviews-Da_Hong_Pao_Restaurant-Washington_DC_District_of_Columbia.html,+1 202-846-7229,Da Hong Pao Restaurant RESTAURANT
102,"The Palm - Washington, D.C.",RESTAURANT,38.906685,-77.04322,https://www.tripadvisor.com/Restaurant_Review-g28970-d450655-Reviews-The_Palm_Washington_D_C-Washington_DC_District_of_Columbia.html,+1 202-293-9091,"The Palm - Washington, D.C. RESTAURANT"
103,Clyde's of Gallery Place,RESTAURANT,38.898823,-77.02173,https://www.tripadvisor.com/Restaurant_Review-g28970-d629504-Reviews-Clyde_s_of_Gallery_Place-Washington_DC_District_of_Columbia.html,+1 202-349-3700,Clyde's of Gallery Place RESTAURANT
104,Doi Moi,RESTAURANT,38.91438,-77.03214,https://www.tripadvisor.com/Restaurant_Review-g28970-d4894887-Reviews-Doi_Moi-Washington_DC_District_of_Columbia.html,+1 202-733-5131,Doi Moi RESTAURANT
105,Elephant & Castle,RESTAURANT,38.895775,-77.02841,https://www.tripadvisor.com/Restaurant_Review-g28970-d929338-Reviews-Elephant_Castle-Washington_DC_District_of_Columbia.html,+1 202-347-7707,Elephant & Castle RESTAURANT
106,Union Station,RESTAURANT,38.897232,-77.00668,https://www.tripadvisor.com/Restaurant_Review-g28970-d525028-Reviews-Union_Station-Washington_DC_District_of_Columbia.html,+1 202-371-9441,Union Station RESTAURANT
107,CIRCA at Navy Yard,RESTAURANT,38.87636,-77.006065,https://www.tripadvisor.com/Restaurant_Review-g28970-d16832360-Reviews-CIRCA_at_Navy_Yard-Washington_DC_District_of_Columbia.html,+1 202-863-9900,CIRCA at Navy Yard RESTAURANT
108,Ocean Prime,RESTAURANT,38.898556,-77.03169,https://www.tripadvisor.com/Restaurant_Review-g28970-d11715644-Reviews-Ocean_Prime-Washington_DC_District_of_Columbia.html,+1 202-393-0313,Ocean Prime RESTAURANT
